hcpid,zip,calls
HCP00001,57002,24
HCP00002,75002,55
HCP00003,05001,38
HCP00004,07001,52
HCP00005,97001,8
HCP00006,98001,33
HCP00007,83202,27
HCP00008,16821,28
HCP00009,19701,36
HCP00010,98003,5
HCP00011,30303,27
HCP00012,83202,20
HCP00013,01001,47
HCP00014,37012,54
HCP00015,90002,34
HCP00016,29003,8
HCP00017,07003,30
HCP00018,60001,12
HCP00019,90212,59
HCP00020,90001,18
HCP00021,85003,12
HCP00022,30002,36
HCP00023,77002,25
HCP00024,94105,31
HCP00025,75002,59
HCP00026,02103,23
HCP00027,40006,24
HCP00028,83203,32
HCP00029,84001,36
HCP00030,40006,56
HCP00031,77001,14
HCP00032,50001,58
HCP00033,66002,27
HCP00034,07002,58
HCP00035,99502,13
HCP00036,57002,7
HCP00037,43001,41
HCP00038,94103,17
HCP00039,58003,30
HCP00040,40004,42
HCP00041,19103,24
HCP00042,90001,7
HCP00043,48001,42
HCP00044,20602,14
HCP00045,50002,17
HCP00046,24701,8
HCP00047,77003,46
HCP00048,98103,30
HCP00049,29002,15
HCP00050,10003,34
HCP00051,05009,22
HCP00052,97001,49
HCP00053,96701,22
HCP00054,45203,48
HCP00055,46002,14
HCP00056,04002,30
HCP00057,94105,24
HCP00058,03031,49
HCP00059,97001,16
HCP00060,07002,13
HCP00061,59001,38
HCP00062,30002,6
HCP00063,16820,48
HCP00064,16822,31
HCP00065,75002,42
HCP00066,96701,53
HCP00067,87004,13
HCP00068,59001,22
HCP00069,63005,9
HCP00070,88901,28
HCP00071,30302,34
HCP00072,05009,25
HCP00073,87001,13
HCP00074,77003,38
HCP00075,90001,39
HCP00076,98003,15
HCP00077,80002,17
HCP00078,43002,37
HCP00079,10002,9
HCP00080,20102,10
HCP00081,05009,29
HCP00082,40006,46
HCP00083,33127,19
HCP00084,60602,6
HCP00085,30301,22
HCP00086,01001,5
HCP00087,30303,51
HCP00088,97001,50
HCP00089,30002,55
HCP00090,53003,23
HCP00091,37011,58
HCP00092,07002,26
HCP00093,07002,57
HCP00094,33127,26
HCP00095,55001,16
HCP00096,07003,40
HCP00097,98101,21
HCP00098,77002,45
HCP00099,27006,59
HCP00100,70001,56
HCP00101,30302,6
HCP00102,99502,37
HCP00103,05001,8
HCP00104,70001,59
HCP00105,84003,12
HCP00106,30002,25
HCP00107,16821,31
HCP00108,88904,28
HCP00109,30002,43
HCP00110,85003,57
HCP00111,94105,34
HCP00112,33125,12
HCP00113,82001,45
HCP00114,77002,53
HCP00115,37012,33
HCP00116,20002,60
HCP00117,82003,37
HCP00118,01001,59
HCP00119,97001,32
HCP00120,83201,7
HCP00121,24701,41
HCP00122,84002,36
HCP00123,32006,47
HCP00124,03031,49
HCP00125,20102,48
HCP00126,60003,25
HCP00127,16821,39
HCP00128,50002,55
HCP00129,59003,12
HCP00130,58001,54
HCP00131,20103,15
HCP00132,97001,39
HCP00133,16820,48
HCP00134,04003,49
HCP00135,85002,22
HCP00136,50001,58
HCP00137,07002,47
HCP00138,32006,8
HCP00139,38603,46
HCP00140,50003,26
HCP00141,01003,49
HCP00142,45202,37
HCP00143,38602,13
HCP00144,02802,29
HCP00145,38603,27
HCP00146,32004,13
HCP00147,06003,51
HCP00148,71601,15
HCP00149,06001,9
HCP00150,07003,19
HCP00151,20003,40
HCP00152,71601,7
HCP00153,59002,10
HCP00154,19701,18
HCP00155,30303,49
HCP00156,35005,40
HCP00157,57003,59
HCP00158,68002,57
HCP00159,46001,6
HCP00160,63005,33
HCP00161,16820,21
HCP00162,55002,26
HCP00163,08002,8
HCP00164,99501,22
HCP00165,99503,50
HCP00166,06002,12
HCP00167,94105,42
HCP00168,20103,39
HCP00169,20002,56
HCP00170,19104,8
HCP00171,07003,22
HCP00172,73003,60
HCP00173,57003,28
HCP00174,19701,56
HCP00175,30302,8
HCP00176,16821,37
HCP00177,94102,37
HCP00178,87001,56
HCP00179,40003,32
HCP00180,73001,8
HCP00181,43001,25
HCP00182,35004,19
HCP00183,27006,14
HCP00184,37010,43
HCP00185,98001,45
HCP00186,82003,60
HCP00187,87004,8
HCP00188,08001,6
HCP00189,35004,41
HCP00190,57002,50
HCP00191,10002,22
HCP00192,37010,17
HCP00193,90210,30
HCP00194,98103,20
HCP00195,97001,5
HCP00196,84003,44
HCP00197,10004,38
HCP00198,27006,30
HCP00199,37010,58
HCP00200,59001,36
HCP00201,97002,41
HCP00202,50001,14
HCP00203,82003,5
HCP00204,53002,24
HCP00205,85002,56
HCP00206,96701,32
HCP00207,01002,7
HCP00208,46003,38
HCP00209,24701,54
HCP00210,43003,39
HCP00211,57003,11
HCP00212,06002,7
HCP00213,01001,36
HCP00214,19702,44
HCP00215,60002,42
HCP00216,07003,38
HCP00217,35006,50
HCP00218,75001,19
HCP00219,97002,44
HCP00220,29003,7
HCP00221,50003,11
HCP00222,77001,46
HCP00223,19701,11
HCP00224,30002,46
